T,loc,demand,price
1,Gustavo A. Madero,737030180.125,21.155072224473326
1,Gómez Palacio,354496724.9375,19.434033418138963
1,Hermosillo,664738117.625,17.18764154869888
1,Hidalgo_aggregate(58),1899395752.5,20.28626252838176
1,Irapuato,335520916.0625,20.928498513556768
1,Iztapalapa,1193062664.25,21.04623149593462
1,Jalisco_aggregate(106),1996238373.5,18.659199050247988
1,Jiutepec,130843638.40625,15.909048464470196
1,Juárez,1107390821.5,15.670634936461395
1,León,1001419162.0,20.623944269602617
1,Matamoros,463792878.25,16.128381287299316
1,Mazatlán,437618747.6875,19.408087579609543
1,Michoacán de Ocampo_aggregate(102),1557452290.5,17.619604315052257
1,Monterrey,754791232.25,21.362932055287448
1,Morelia,481629370.125,18.82097076089664
1,Morelos_aggregate(32),554803172.375,16.054027709366913
1,Mérida,1085643244.5,21.227583614908312
1,México_aggregate(117),4616776587.0,18.07780611863732
1,Nayarit_aggregate(17),108065244.65625,16.49464127336815
1,Nogales,183876414.8125,17.911453667621604
1,Nuevo Laredo,382261553.9375,16.68835952531767
1,Nuevo León_aggregate(33),2060608979.5,18.65172173536571
1,Oaxaca de Juárez,145551156.8125,18.558662287811078
1,Oaxaca_aggregate(159),999466476.25,17.375386052274816
1,Pachuca de Soto,381176654.625,16.44140490710209
1,Puebla,651658104.375,15.718492838706654
1,Puebla_aggregate(137),1368511638.5,20.101493490253585
1,Querétaro,655626882.75,20.001232484979997
1,Querétaro_aggregate(12),384640475.9375,17.369813489152733
1,Quintana Roo_aggregate(9),361152410.8125,19.206883696442386
1,Reynosa,619870736.375,16.198775673303924
1,Saltillo,356678271.0,17.07467057573236
1,San Juan del Río,150828153.65625,15.799130798252845
1,San Luis Potosí,544457067.5,20.323027507712897
1,San Luis Potosí_aggregate(40),447916973.25,17.042303746803725
1,Sinaloa_aggregate(15),519698541.25,20.80659726522431
1,Soledad de Graciano Sánchez,211046164.0625,18.14348596206611
1,Solidaridad,278000570.25,19.544156428726993
1,Sonora_aggregate(30),682582312.875,20.939839272848843
1,Tabasco_aggregate(15),386128695.5,16.68440309298479
1,Tamaulipas_aggregate(26),1088606856.25,15.559750528593401
1,Tepic,125738883.53125,16.57859648258117
1,Tijuana,1466305402.0,18.30836080318348
1,Tlaxcala_aggregate(57),684765071.0,19.6124632610477
1,Torreón,302593264.625,19.970611645576835
1,Tuxtla Gutiérrez,220091695.0,17.83912579209505
1,Veracruz,462273987.5,20.551771843756292
1,Veracruz de Ignacio de la Llave_aggregate(167),3256901035.0,17.232223792502676
1,Victoria,304347567.6875,17.58177303368452
1,Yucatán_aggregate(86),1175649748.75,17.20873332126692
1,Zacatecas,74613805.25,16.448003529298678
1,Zacatecas_aggregate(40),259921478.5,16.878194588845147
1,Zapopan,601472212.125,20.330538554415202
2,Acapulco de Juárez,362308967.8125,23.56016359629859
2,Aguascalientes,576809766.625,22.089278130744468
2,Aguascalientes_aggregate(10),178638006.1875,22.513066554834907
2,Ahome,363404740.3125,17.63931281124482
2,Apodaca,511298925.75,16.220048989436215
2,Bahía de Banderas,59111640.0,15.985187376110778
2,Baja California Sur_aggregate(5),568902470.375,23.84406072456695
2,Baja California_aggregate(5),1432155065.0,20.506101309063567
2,Benito Juárez,850728779.875,18.20857268058003
2,Cajeme,311301558.5,15.369167464068623
2,Campeche,150563423.46875,15.502985133821856
2,Campeche_aggregate(10),112579303.9375,16.162721411187675
2,Carmen,117177212.03125,16.867713132391213
2,Celaya,297759834.8125,18.64478719309131
2,Centro,373278248.5,15.167697591343495
2,Chiapas_aggregate(101),849779863.75,16.6507422358677
2,Chihuahua,780191037.25,15.292847675961031
2,Chihuahua_aggregate(31),694885801.75,20.12193399749322
2,Chilpancingo de los Bravo,139308377.71875,18.017181511170467
2,Ciudad de México_aggregate(14),4325920889.0,22.901382398643854
2,Coahuila de Zaragoza_aggregate(27),633306508.375,20.171045664885604
2,Colima_aggregate(10),2080824818.5,16.660660249275878
2,Cuautla,121725262.125,14.688212888793458
2,Cuernavaca,279913507.1875,17.3540593515254
2,Culiacán,975285737.75,17.007255510391175
2,Cárdenas,95071055.421875,15.652791089500742
2,Durango,777684668.625,17.72045355394652
2,Durango_aggregate(26),496976809.875,22.841548303717744
2,Ecatepec de Morelos,709245934.0,15.642138405370908
2,Fresnillo,105349230.859375,18.922084086383943
2,Guadalajara,711258731.875,19.294719723643258
2,Guadalupe,451322641.625,22.465363663793404
2,Guanajuato_aggregate(39),1382192671.75,17.526931640465506
2,Guerrero_aggregate(66),645225995.75,22.645923054980447
2,Gustavo A. Madero,818572039.5,22.824584925341668
2,Gómez Palacio,389056664.125,19.80187400482072
2,Hermosillo,779859626.375,16.264995007147604
2,Hidalgo_aggregate(58),2214271980.5,21.904115587434216
2,Irapuato,391291653.875,22.505607120073137
2,Iztapalapa,1351267496.5,22.68388055012155
2,Jalisco_aggregate(106),2274998288.0,18.703546669040524
2,Jiutepec,148881428.59375,14.590677096913947
2,Juárez,1189691791.0,14.832073186625237
2,León,1103641962.25,22.007787940655103
2,Matamoros,545533194.5,15.519029728589517
2,Mazatlán,507157247.625,19.571637442574023
2,Michoacán de Ocampo_aggregate(102),1735157366.75,16.90890102664223
2,Monterrey,835440048.375,22.7869031030661
2,Morelia,538416632.625,18.75787906442269
2,Morelos_aggregate(32),630838577.0,14.800580218155467
2,Mérida,1231553338.0,22.68590720872046
2,México_aggregate(117),5043063379.0,18.126551322153674
2,Nayarit_aggregate(17),117826322.59375,15.127064417496019
2,Nogales,209023551.0,17.32963593504915
2,Nuevo Laredo,449817371.0,16.38267136489018
2,Nuevo León_aggregate(33),2298073067.0,18.30357244160803
2,Oaxaca de Juárez,165842782.71875,18.055712228396267
2,Oaxaca_aggregate(159),1145986654.25,16.183937578801437
2,Pachuca de Soto,431808602.625,15.470662252475096
2,Puebla,711296853.375,14.4477281963897
2,Puebla_aggregate(137),1564356926.75,21.602078289019428
2,Querétaro,770558799.625,21.277507295869057
2,Querétaro_aggregate(12),437256047.75,16.999687515997792
2,Quintana Roo_aggregate(9),398528357.8125,19.09755639123138
2,Reynosa,728662105.125,15.584161340163392
2,Saltillo,371857061.5625,16.315536784636013
2,San Juan del Río,169334843.78125,14.547716499634566
2,San Luis Potosí,615824515.375,21.445574751788538
2,San Luis Potosí_aggregate(40),511766571.75,16.2122626287449
2,Sinaloa_aggregate(15),602074191.5,21.90082718823199
2,Soledad de Graciano Sánchez,247434213.625,17.873638061986384
2,Solidaridad,313220953.8125,19.438124797178844
2,Sonora_aggregate(30),759428740.375,22.345238737521917
2,Tabasco_aggregate(15),442682977.75,15.931884268389283
2,Tamaulipas_aggregate(26),1270933936.75,14.612838264887008
2,Tepic,136448048.0625,15.246799920674201
2,Tijuana,1599609385.0,18.95933181434969
2,Tlaxcala_aggregate(57),788826769.875,20.640953055833254
2,Torreón,324276882.25,21.048213039325066
2,Tuxtla Gutiérrez,231672704.9375,17.191331858816667
2,Veracruz,544429340.25,22.038652845063805
2,Veracruz de Ignacio de la Llave_aggregate(167),3642564444.0,16.60836733791832
2,Victoria,361409341.875,17.886580344206532
2,Yucatán_aggregate(86),1337618676.5,16.15472116843258
2,Zacatecas,88564927.5625,15.083088766877895
2,Zacatecas_aggregate(40),300918946.625,15.751048169645474
2,Zapopan,660404114.625,21.27339249623952
3,Acapulco de Juárez,395820701.625,25.446970010669727
3,Aguascalientes,611174814.625,23.618804240087087
3,Aguascalientes_aggregate(10),183636163.1875,24.23679166858797
3,Ahome,405032603.625,17.05942829067334
3,Apodaca,586682931.625,15.190970810621154
3,Bahía de Banderas,64108509.421875,14.984078542175451
3,Baja California Sur_aggregate(5),603881784.875,25.948224206457372
3,Baja California_aggregate(5),1588127695.5,21.977140972379715
3,Benito Juárez,954386062.5,17.68733471135222
3,Cajeme,350267658.0,14.188867700916864
3,Campeche,161924092.25,14.23560377210175
3,Campeche_aggregate(10),118419850.96875,15.059459271609299
3,Carmen,123558096.90625,16.041626895142734
3,Celaya,326589566.0625,18.616518266543054
3,Centro,433294421.375,14.201178622018023
3,Chiapas_aggregate(101),907573580.0,15.865569741303837
3,Chihuahua,861701839.5,14.639798161507448
3,Chihuahua_aggregate(31),760602293.375,21.42291815483865
3,Chilpancingo de los Bravo,156094917.125,17.579245451312836
3,Ciudad de México_aggregate(14),4840447004.0,24.810071757881698
3,Coahuila de Zaragoza_aggregate(27),692772522.375,21.02597039632098
3,Colima_aggregate(10),2359082650.0,16.06747420032539
3,Cuautla,141508171.84375,13.526193236804275
3,Cuernavaca,330920721.4375,16.993660976513418
3,Culiacán,1149435324.25,16.23055472109224
3,Cárdenas,108229460.515625,14.841680629430195
3,Durango,854872654.25,17.218070667129904
3,Durango_aggregate(26),549880516.0,24.62235011265588
3,Ecatepec de Morelos,815131961.375,14.754353038600742
3,Fresnillo,124111362.15625,18.93229535786197
3,Guadalajara,820125944.25,19.53878100169839
3,Guadalupe,494395846.25,23.92041344834647
3,Guanajuato_aggregate(39),1588630231.25,17.05915573793309
3,Guerrero_aggregate(66),722780311.625,24.047989754281595
3,Gustavo A. Madero,908129532.5,24.68424588609249
3,Gómez Palacio,426103600.875,20.1792668891037
3,Hermosillo,916908769.25,15.435513220340713
3,Hidalgo_aggregate(58),2580363245.5,23.701790051315133
3,Irapuato,455158637.625,24.177905888403387
3,Iztapalapa,1538729419.5,24.478304533269498
3,Jalisco_aggregate(106),2597917155.5,18.693505828850057
3,Jiutepec,169908243.84375,13.39703479068307
3,Juárez,1278641499.0,14.03283438029417
3,León,1218624839.0,23.435584877482658
3,Matamoros,644797040.0,14.989332836659882
3,Mazatlán,592332774.0,19.800297640718025
3,Michoacán de Ocampo_aggregate(102),1946127806.0,16.254976247939435
3,Monterrey,925459751.25,24.368213338661135
3,Morelia,602448197.375,18.7915662850292
3,Morelos_aggregate(32),718145043.25,13.677529760798658
3,Mérida,1402389461.5,24.255541946114306
3,México_aggregate(117),5528758081.0,18.09362384738679
3,Nayarit_aggregate(17),128405278.84375,13.891443685567534
3,Nogales,238372115.25,16.771975308276463
3,Nuevo Laredo,532105653.25,16.08162728943544
3,Nuevo León_aggregate(33),2564179113.0,17.983232970031416
3,Oaxaca de Juárez,189124329.375,17.529324893430847
3,Oaxaca_aggregate(159),1317973539.25,15.084760531279073
3,Pachuca de Soto,489803299.625,14.587176072977732
3,Puebla,777231211.75,13.313116103159125
3,Puebla_aggregate(137),1796387732.5,23.26160776940844
3,Querétaro,905908162.375,22.766078450581507
3,Querétaro_aggregate(12),498125041.125,16.662391513889876
3,Quintana Roo_aggregate(9),440481503.3125,18.91010549904352
3,Reynosa,857615472.375,14.990645398423476
3,Saltillo,388538570.375,15.615915652112442
3,San Juan del Río,190779231.96875,13.404236136115319
3,San Luis Potosí,696397153.125,22.788922822360373
3,San Luis Potosí_aggregate(40),586980219.875,15.418814126286156
3,Sinaloa_aggregate(15),700952381.75,23.15371570712381
3,Soledad de Graciano Sánchez,290373757.1875,17.728456795854825
3,Solidaridad,353375307.8125,19.42484339373697
3,Sonora_aggregate(30),846841104.0,23.866921114516426
3,Tabasco_aggregate(15),509643128.375,15.205937510586951
3,Tamaulipas_aggregate(26),1493289942.0,13.752282331485242
3,Tepic,148383236.96875,14.056068651594858
3,Tijuana,1747019562.75,19.65009827889321
3,Tlaxcala_aggregate(57),915933944.125,21.76016200547326
3,Torreón,348226247.5,22.356258756256146
3,Tuxtla Gutiérrez,244923244.0625,16.581082916685983
3,Veracruz,644038674.75,23.763353853326592
3,Veracruz de Ignacio de la Llave_aggregate(167),4089524486.0,16.027490390031907
3,Victoria,430891546.1875,18.079195659998025
3,Yucatán_aggregate(86),1530701425.5,15.154251873842354
3,Zacatecas,105092330.125,13.848405688756689
3,Zacatecas_aggregate(40),348014572.0,14.712721354275471
3,Zapopan,726875092.5,22.26278271926825
4,Acapulco de Juárez,431505863.25,27.45613871145272
4,Aguascalientes,645679928.625,25.20962558323955
4,Aguascalientes_aggregate(10),188575995.53125,26.094310979077658
4,Ahome,449837557.9375,16.437540365448093
